Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
sample-ts,,,,22-07-2024 01:03:02,22-07-2024 01:03:12,10.215s,PASSED
,,,,,,,
Test Cases/sample,,,,22-07-2024 01:03:02,22-07-2024 01:03:12,10.160s,PASSED
"startApplication(""/Users/jaeheonjeong/Desktop/2024SEM2/Capstone B/Sample App/android.wdio.native.app.v1.0.8/android.wdio.native.app.v1.0.8.apk"", true)",,,,22-07-2024 01:03:02,22-07-2024 01:03:10,7.691s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - (1)""), 0)",,,,22-07-2024 01:03:10,22-07-2024 01:03:10,0.673s,PASSED
"takeScreenshotAsCheckpoint(""screenshotCheckpoint"")",,,,22-07-2024 01:03:10,22-07-2024 01:03:11,0.641s,PASSED
closeApplication(),,,,22-07-2024 01:03:11,22-07-2024 01:03:12,1.054s,PASSED
