Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
webdriver_signup_TS,,,,22-07-2024 00:32:51,22-07-2024 00:33:04,12.844s,PASSED
,,,,,,,
Test Cases/signup_tc,,,,22-07-2024 00:32:51,22-07-2024 00:33:04,12.788s,PASSED
"startApplication(""/Users/jaeheonjeong/Desktop/2024SEM2/Capstone B/Sample App/android.wdio.native.app.v1.0.8/android.wdio.native.app.v1.0.8.apk"", true)",,,,22-07-2024 00:32:52,22-07-2024 00:32:59,7.719s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Login""), 0)",,,,22-07-2024 00:32:59,22-07-2024 00:33:01,1.233s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Sign up""), 0)",,,,22-07-2024 00:33:01,22-07-2024 00:33:02,1.574s,PASSED
"verifyElementExist(findTestObject(""Object Repository/android.widget.TextView -""), 0)",,,,22-07-2024 00:33:02,22-07-2024 00:33:03,0.416s,PASSED
"takeScreenshotAsCheckpoint(""screenshotCheckpoint"")",,,,22-07-2024 00:33:03,22-07-2024 00:33:03,0.667s,PASSED
closeApplication(),,,,22-07-2024 00:33:03,22-07-2024 00:33:04,1.074s,PASSED
