Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
webdriver_signup_TS,,,,20-07-2024 23:05:49,20-07-2024 23:06:02,12.235s,PASSED
,,,,,,,
Test Cases/signup_tc,,,,20-07-2024 23:05:50,20-07-2024 23:06:02,12.183s,PASSED
"startApplication(""/Users/jaeheonjeong/Desktop/2024SEM2/Capstone B/Sample App/android.wdio.native.app.v1.0.8/android.wdio.native.app.v1.0.8.apk"", true)",,,,20-07-2024 23:05:50,20-07-2024 23:05:58,8.188s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Login""), 0)",,,,20-07-2024 23:05:58,20-07-2024 23:05:58,0.669s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Sign up""), 0)",,,,20-07-2024 23:05:58,20-07-2024 23:05:59,0.738s,PASSED
"verifyElementExist(findTestObject(""Object Repository/android.widget.TextView -""), 0)",,,,20-07-2024 23:05:59,20-07-2024 23:06:00,1.129s,PASSED
closeApplication(),,,,20-07-2024 23:06:00,20-07-2024 23:06:02,1.360s,PASSED
