Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
webdriver_signup_TS,,,,22-07-2024 00:48:28,22-07-2024 00:48:40,12.155s,PASSED
,,,,,,,
Test Cases/signup_tc,,,,22-07-2024 00:48:28,22-07-2024 00:48:40,12.106s,PASSED
"startApplication(""/Users/jaeheonjeong/Desktop/2024SEM2/Capstone B/Sample App/android.wdio.native.app.v1.0.8/android.wdio.native.app.v1.0.8.apk"", true)",,,,22-07-2024 00:48:28,22-07-2024 00:48:36,7.655s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Login""), 0)",,,,22-07-2024 00:48:36,22-07-2024 00:48:36,0.640s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Sign up""), 0)",,,,22-07-2024 00:48:36,22-07-2024 00:48:38,1.604s,PASSED
"verifyElementExist(findTestObject(""Object Repository/android.widget.TextView -""), 0)",,,,22-07-2024 00:48:38,22-07-2024 00:48:38,0.411s,PASSED
"takeScreenshotAsCheckpoint(""screenshotCheckpoint"")",,,,22-07-2024 00:48:38,22-07-2024 00:48:39,0.662s,PASSED
closeApplication(),,,,22-07-2024 00:48:39,22-07-2024 00:48:40,1.031s,PASSED
