Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
sample-ts,,,,22-07-2024 01:00:50,22-07-2024 01:01:00,10.682s,PASSED
,,,,,,,
Test Cases/sample,,,,22-07-2024 01:00:50,22-07-2024 01:01:00,10.618s,PASSED
"startApplication(""/Users/jaeheonjeong/Desktop/2024SEM2/Capstone B/Sample App/android.wdio.native.app.v1.0.8/android.wdio.native.app.v1.0.8.apk"", true)",,,,22-07-2024 01:00:50,22-07-2024 01:00:58,8.146s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - (1)""), 0)",,,,22-07-2024 01:00:58,22-07-2024 01:00:59,0.676s,PASSED
"takeScreenshotAsCheckpoint(""screenshotCheckpoint"")",,,,22-07-2024 01:00:59,22-07-2024 01:00:59,0.661s,PASSED
closeApplication(),,,,22-07-2024 01:00:59,22-07-2024 01:01:00,1.043s,PASSED
