Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
webdriver_signup_TS,,,,22-07-2024 00:22:57,22-07-2024 00:23:09,11.772s,PASSED
,,,,,,,
Test Cases/signup_tc,,,,22-07-2024 00:22:57,22-07-2024 00:23:09,11.722s,PASSED
"startApplication(""/Users/jaeheonjeong/Desktop/2024SEM2/Capstone B/Sample App/android.wdio.native.app.v1.0.8/android.wdio.native.app.v1.0.8.apk"", true)",,,,22-07-2024 00:22:57,22-07-2024 00:23:05,7.236s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Login""), 0)",,,,22-07-2024 00:23:05,22-07-2024 00:23:05,0.619s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Sign up""), 0)",,,,22-07-2024 00:23:05,22-07-2024 00:23:06,0.810s,PASSED
"verifyElementExist(findTestObject(""Object Repository/android.widget.TextView -""), 0)",,,,22-07-2024 00:23:06,22-07-2024 00:23:07,1.178s,PASSED
"takeScreenshotAsCheckpoint(""screenshotCheckpoint"")",,,,22-07-2024 00:23:07,22-07-2024 00:23:08,0.692s,PASSED
closeApplication(),,,,22-07-2024 00:23:08,22-07-2024 00:23:09,1.080s,PASSED
